deprecated API,replacement API,extracted_text,PROPOSED_REPLACEMENT
pandas.api.types.is_period,pandas.api.types.is_period_dtype,"{'        ""\'is_period\' is deprecated and will be removed in a future ""        ""version.  Use \'is_period_dtype\' or is_period_arraylike\' ""        ""instead."",        FutureWarning,        stacklevel=2,    ', '""\'is_period\' is deprecated and will be removed in a future ""                  ""version.  Use \'is_period_dtype\' or is_period_arraylike\' ""                  ""instead."", FutureWarning, stacklevel=2'}","{""'is_period_dtype' or is_period_arraylike'""}"
pandas.api.types.is_datetimetz,pandas.api.types.is_datetime64tz,"{'        ""\'is_datetimetz\' is deprecated and will be removed in a ""        ""future version.  Use \'is_datetime64tz_dtype\' instead."",        FutureWarning,        stacklevel=2,    ', '""\'is_datetimetz\' is deprecated and will be removed in a ""                  ""future version.  Use \'is_datetime64tz_dtype\' instead."",                  FutureWarning, stacklevel=2'}","{""'is_datetime64tz_dtype'""}"
pandas.Series.nonzero,to_numpy().nonzero(),"{'""TimeSeries is deprecated. Please use Series"",                      FutureWarning, stacklevel=2', '            ""\'from_array\' is deprecated and will be removed in a ""            ""future version. Please use the pd.Series(..', '""The signature of `Series.to_csv` was aligned ""                          ""to that of `DataFrame.to_csv`, and argument ""                          ""\'header\' will change its default value from False ""                          ""to True: please pass an explicit value to suppress ""                          ""this warning."", FutureWarning,                          stacklevel=2', '(""na_last is deprecated. Please use na_position instead""', '""nanRep is deprecated, use na_rep"", FutureWarning', '        ""argmin"",        idxmin,        ""0.21.0"",        msg=dedent(            """"""        The current behaviour of \'Series.argmin\' is deprecated, use \'idxmin\'        instead.        The behavior of \'argmin\' will be corrected to return the positional        minimum in the future. For now, use \'series.values.argmin\' or        \'np.argmin(np.array(values', '        ""remove_na is deprecated and is a private "" ""function. Do not use."",        FutureWarning,        stacklevel=2,    ', '            ""Series.to_sparse is deprecated and will be removed "" ""in a future version"",            FutureWarning,            stacklevel=2,        ', '""The signature of `Series.to_csv` was aligned ""                          ""to that of `DataFrame.to_csv`, and argument ""                          ""\'path\' will be renamed to \'path_or_buf\'."",                          FutureWarning, stacklevel=2', '                ""The signature of `Series.to_csv` was aligned ""                ""to that of `DataFrame.to_csv`, and argument ""                ""\'header\' will change its default value from False ""                ""to True: please pass an explicit value to suppress ""                ""this warning."",                FutureWarning,                stacklevel=2,            ', '""order is deprecated, use sort_values(...', '            ""`real` has be deprecated and will be removed in a "" ""future verison"",            FutureWarning,            stacklevel=2,        ', '            ""The \'get_values\' method is deprecated and will be removed in a ""            ""future version. Use \'.to_numpy\' or \'.array\' instead."",            FutureWarning,            stacklevel=2,        ', '            ""`imag` has be deprecated and will be removed in a "" ""future verison"",            FutureWarning,            stacklevel=2,        ', 'msg, PerformanceWarning, stacklevel=2', '""sort is deprecated, use sort_values(inplace=True', '""iget_value(i', '""\'asobject\' is deprecated. Use \'astype(object', '""get_value is deprecated and will be removed ""                      ""in a future release. Please use ""                      "".at[] or .iat[] accessors instead"", FutureWarning,                      stacklevel=2', '                ""Concatenating sparse arrays with multiple fill ""                f""values: \'{fill_values}\'. Picking the first and ""                ""converting the rest."",                PerformanceWarning,                stacklevel=6,            ', 'msg, FutureWarning, stacklevel=2', '\'argmin\', idxmin,                       msg=""\'argmin\' is deprecated. Use \'idxmin\' instead. ""                           ""The behavior of \'argmin\' will be corrected to ""                           ""return the positional minimum in the future. ""                           ""Use \'series.values.argmin\' to get the position of ""                           ""the minimum now.""', '""The signature of `Series.to_csv` was aligned ""                              ""to that of `DataFrame.to_csv`. Note that the ""                              ""order of arguments changed, and the new one ""                              ""has \'sep\' in first place, for which \\""{}\\"" is ""                              ""not a valid value. The old order will cease to ""                              ""be supported in a future version. Please refer ""                              ""to the documentation for `DataFrame.to_csv` ""                              ""when updating your function ""                              ""calls."".format(maybe_sep', '""set_value is deprecated and will be removed ""                      ""in a future release. Please use ""                      "".at[] or .iat[] accessors instead"", FutureWarning,                      stacklevel=2', '            ""Series.ftypes is deprecated and will ""            ""be removed in a future version. ""            ""Use Series.dtype instead."",            FutureWarning,            stacklevel=2,        ', '            ""\'asobject\' is deprecated. Use \'astype(object', 'msg.format(ufunc', '                ""Concatenating sparse arrays with multiple fill ""                ""values: \'{}\'. Picking the first and ""                ""converting the rest."".format(fill_values', '""irow(i', '""remove_na is deprecated and is a private ""                  ""function. Do not use."", FutureWarning, stacklevel=2', '                ""The index argument has been deprecated and will be ""                ""removed in a future version. Use a function like np.full ""                ""to construct an array with the desired repeats of the ""                ""scalar value instead.\\n\\n"",                FutureWarning,                stacklevel=find_stack_level,            ', '            ""`real` is deprecated and will be removed in a future version. ""            ""To eliminate this warning for a Series `ser`, use ""            ""`np.real(ser.to_numpy', '""Concatenating sparse arrays with multiple fill ""                          ""values: \'{}\'. Picking the first and ""                          ""converting the rest."".format(fill_values', '                        f""Creating SparseArray from {data.dtype} data ""                        ""loses timezone information.  Cast to object before ""                        ""sparse to retain timezone information."",                        UserWarning,                        stacklevel=2,                    ', '""sortlevel is deprecated, use sort_index(level=...', '        \'argmax\', idxmax, \'0.21.0\',        msg=dedent(""""""        The current behaviour of \'Series.argmax\' is deprecated, use \'idxmax\'        instead.        The behavior of \'argmax\' will be corrected to return the positional        maximum in the future. For now, use \'series.values.argmax\' or        \'np.argmax(np.array(values', '            ""Method .valid will be removed in a future version. ""            ""Use .dropna instead."",            FutureWarning,            stacklevel=2,        ', '                ""The signature of `Series.to_csv` was aligned ""                ""to that of `DataFrame.to_csv`, and argument ""                ""\'path\' will be renamed to \'path_or_buf\'."",                FutureWarning,                stacklevel=2,            ', '""is_time_series is deprecated. Please use ""                      ""Series.index.is_all_dates"", FutureWarning, stacklevel=2', '        \'argmin\', idxmin, \'0.21.0\',        msg=dedent(""""""        The current behaviour of \'Series.argmin\' is deprecated, use \'idxmin\'        instead.        The behavior of \'argmin\' will be corrected to return the positional        minimum in the future. For now, use \'series.values.argmin\' or        \'np.argmin(np.array(values', '            ""set_value is deprecated and will be removed ""            ""in a future release. Please use ""            "".at[] or .iat[] accessors instead"",            FutureWarning,            stacklevel=2,        ', '""Method .valid will be removed in a future version. ""                      ""Use .dropna instead."", FutureWarning, stacklevel=2', 'msg, PerformanceWarning, stacklevel=find_stack_level', 'msg, FutureWarning, stacklevel=3', '                    ""The signature of `Series.to_csv` was aligned ""                    ""to that of `DataFrame.to_csv`. Note that the ""                    ""order of arguments changed, and the new one ""                    ""has \'sep\' in first place, for which \\""{}\\"" is ""                    ""not a valid value. The old order will cease to ""                    ""be supported in a future version. Please refer ""                    ""to the documentation for `DataFrame.to_csv` ""                    ""when updating your function ""                    ""calls."".format(maybe_sep', '        ""argmax"",        idxmax,        ""0.21.0"",        msg=dedent(            """"""        The current behaviour of \'Series.argmax\' is deprecated, use \'idxmax\'        instead.        The behavior of \'argmax\' will be corrected to return the positional        maximum in the future. For now, use \'series.values.argmax\' or        \'np.argmax(np.array(values', '            ""`imag` is deprecated and will be removed in a future version. ""            ""To eliminate this warning for a Series `ser`, use ""            ""`np.imag(ser.to_numpy', '            ""The \'get_values\' method is deprecated and will be removed in a ""            ""future version. Use the \'to_dense\' method instead."",            FutureWarning,            stacklevel=2,        ', '""iget(i', '                        f""Creating SparseArray from {data.dtype} data ""                        ""loses timezone information. Cast to object before ""                        ""sparse to retain timezone information."",                        UserWarning,                        stacklevel=find_stack_level,                    ', '            ""Series.ftype is deprecated and will ""            ""be removed in a future version. ""            ""Use Series.dtype instead."",            FutureWarning,            stacklevel=2,        ', 'msg, PerformanceWarning', '""reshape is deprecated and will raise ""                      ""in a subsequent release. Please use ""                      "".values.reshape(...', '\'argmax\', idxmax,                       msg=""\'argmax\' is deprecated. Use \'idxmax\' instead. ""                           ""The behavior of \'argmax\' will be corrected to ""                           ""return the positional maximum in the future. ""                           ""Use \'series.values.argmax\' to get the position of ""                           ""the maximum now.""', '            ""get_value is deprecated and will be removed ""            ""in a future release. Please use ""            "".at[] or .iat[] accessors instead"",            FutureWarning,            stacklevel=2,        ', '""\'from_array\' is deprecated and will be removed in a ""                      ""future version. Please use the pd.Series(..', '        \'argmin\', idxmin, \'0.21.0\',        msg=dedent(""""""\\        \'argmin\' is deprecated, use \'idxmin\' instead. The behavior of \'argmin\'        will be corrected to return the positional minimum in the future.        Use \'series.values.argmin\' to get the position of the minimum now.""""""', '            ""`put` has been deprecated and will be removed in a"" ""future version."",            FutureWarning,            stacklevel=2,        ', '        \'argmax\', idxmax, \'0.21.0\',        msg=dedent(""""""\\        \'argmax\' is deprecated, use \'idxmax\' instead. The behavior of \'argmax\'        will be corrected to return the positional maximum in the future.        Use \'series.values.argmax\' to get the position of the maximum now.""""""'}",set()
pandas.Series.clip_lower,pandas.Series.clip,"{""'clip_lower(threshold"", '            ""clip_lower(threshold'}",set()
pandas.Series.clip_upper,pandas.Series.clip,"{""'clip_upper(threshold"", '            ""clip_upper(threshold'}",set()
pandas.DataFrame.clip_lower,pandas.DataFrame.clip,"{""'clip_lower(threshold"", '            ""clip_lower(threshold'}",set()
pandas.DataFrame.clip_upper,pandas.DataFrame.clip,"{""'clip_upper(threshold"", '            ""clip_upper(threshold'}",set()
pandas.Series.from_array,pandas.Series,"{'            ""\'from_array\' is deprecated and will be removed in a ""            ""future version. Please use the pd.Series(..', '""\'from_array\' is deprecated and will be removed in a ""                      ""future version. Please use the pd.SparseSeries(..', '""Categorical.from_array is deprecated, use Categorical instead"",             FutureWarning, stacklevel=2', '""\'from_array\' is deprecated and will be removed in a ""                      ""future version. Please use the pd.Series(..', '            ""\'from_array\' is deprecated and will be removed in a ""            ""future version. Please use the pd.SparseSeries(..'}",{'categorical'}
pandas.SparseSeries.from_array,pandas.Series,"{'            ""\'from_array\' is deprecated and will be removed in a ""            ""future version. Please use the pd.Series(..', '""\'from_array\' is deprecated and will be removed in a ""                      ""future version. Please use the pd.SparseSeries(..', '""Categorical.from_array is deprecated, use Categorical instead"",             FutureWarning, stacklevel=2', '""\'from_array\' is deprecated and will be removed in a ""                      ""future version. Please use the pd.Series(..', '            ""\'from_array\' is deprecated and will be removed in a ""            ""future version. Please use the pd.SparseSeries(..'}",{'categorical'}
pandas.Series.valid,pandas.Series.dropna,"{'            ""Method .valid will be removed in a future version. ""            ""Use .dropna instead."",            FutureWarning,            stacklevel=2,        ', '""Method .valid will be removed in a future version. ""                      ""Use .dropna instead."", FutureWarning, stacklevel=2', '""The signature of `Series.to_csv` was aligned ""                              ""to that of `DataFrame.to_csv`. Note that the ""                              ""order of arguments changed, and the new one ""                              ""has \'sep\' in first place, for which \\""{}\\"" is ""                              ""not a valid value. The old order will cease to ""                              ""be supported in a future version. Please refer ""                              ""to the documentation for `DataFrame.to_csv` ""                              ""when updating your function ""                              ""calls."".format(maybe_sep', '                    ""The signature of `Series.to_csv` was aligned ""                    ""to that of `DataFrame.to_csv`. Note that the ""                    ""order of arguments changed, and the new one ""                    ""has \'sep\' in first place, for which \\""{}\\"" is ""                    ""not a valid value. The old order will cease to ""                    ""be supported in a future version. Please refer ""                    ""to the documentation for `DataFrame.to_csv` ""                    ""when updating your function ""                    ""calls."".format(maybe_sep', '            ""validate is deprecated and will be removed in a future version."",            FutureWarning,            stacklevel=find_stack_level,        ', '                ""Dropping of nuisance columns in rolling operations ""                ""is deprecated; in a future version this will raise TypeError. ""                ""Select only valid columns before calling the operation. ""                f""Dropped columns were {dropped}"",                FutureWarning,                stacklevel=find_stack_level,            '}",{'.dropna'}
pandas.DataFrame.from_items,pandas.DataFrame.from_dict,"{'""from_items is deprecated. Please use ""                      ""DataFrame.from_dict(dict(items', '            ""from_items is deprecated. Please use ""            ""DataFrame.from_dict(dict(items'}",{'dataframe.from_dict(dict(items'}
pandas.Timestamp.weekday_name,pandas.Timestamp.day_name,"{'""cdate_range is deprecated and will be removed in a future ""                  ""version, instead use pd.bdate_range(..., freq=\'{freq}\'', 'msg, FutureWarning, stacklevel=5', '""Converting to PeriodArray/Index representation ""                          ""will drop timezone information."", UserWarning', '                ""The errors argument is deprecated and will be ""                ""removed in a future release. Use ""                ""nonexistent=\'NaT\' or nonexistent=\'raise\' ""                ""instead."",                FutureWarning,            ', '""Passing timedelta64-dtype data is deprecated, will ""                      ""raise a TypeError in a future version"",                      FutureWarning, stacklevel=5', '            ""Passing timedelta64-dtype data is deprecated, will ""            ""raise a TypeError in a future version"",            FutureWarning,            stacklevel=5,        ', 'msg, FutureWarning, stacklevel=2', '                ""Non-vectorized DateOffset being applied to Series "" ""or DatetimeIndex"",                PerformanceWarning,            ', '                ""Converting to PeriodArray/Index representation ""                ""will drop timezone information."",                UserWarning,            ', '""Non-vectorized DateOffset being applied to Series ""                          ""or DatetimeIndex"", PerformanceWarning', '""The errors argument is deprecated and will be ""                          ""removed in a future release. Use ""                          ""nonexistent=\'NaT\' or nonexistent=\'raise\' ""                          ""instead."", FutureWarning', '_i8_message, FutureWarning, stacklevel=4'}",set()
pandas.DatetimeIndex.weekday_name,pandas.DatetimeIndex.day_name,"{'""cdate_range is deprecated and will be removed in a future ""                  ""version, instead use pd.bdate_range(..., freq=\'{freq}\'', 'msg, FutureWarning, stacklevel=5', '""Converting to PeriodArray/Index representation ""                          ""will drop timezone information."", UserWarning', '                ""The errors argument is deprecated and will be ""                ""removed in a future release. Use ""                ""nonexistent=\'NaT\' or nonexistent=\'raise\' ""                ""instead."",                FutureWarning,            ', '""Passing timedelta64-dtype data is deprecated, will ""                      ""raise a TypeError in a future version"",                      FutureWarning, stacklevel=5', '            ""Passing timedelta64-dtype data is deprecated, will ""            ""raise a TypeError in a future version"",            FutureWarning,            stacklevel=5,        ', 'msg, FutureWarning, stacklevel=2', '                ""Non-vectorized DateOffset being applied to Series "" ""or DatetimeIndex"",                PerformanceWarning,            ', '                ""Converting to PeriodArray/Index representation ""                ""will drop timezone information."",                UserWarning,            ', '""Non-vectorized DateOffset being applied to Series ""                          ""or DatetimeIndex"", PerformanceWarning', '""The errors argument is deprecated and will be ""                          ""removed in a future release. Use ""                          ""nonexistent=\'NaT\' or nonexistent=\'raise\' ""                          ""instead."", FutureWarning', '_i8_message, FutureWarning, stacklevel=4'}",set()
pandas.Series.dt.weekday_name,pandas.Series.dt.day_name,"{'""cdate_range is deprecated and will be removed in a future ""                  ""version, instead use pd.bdate_range(..., freq=\'{freq}\'', 'msg, FutureWarning, stacklevel=5', '""Converting to PeriodArray/Index representation ""                          ""will drop timezone information."", UserWarning', '                ""The errors argument is deprecated and will be ""                ""removed in a future release. Use ""                ""nonexistent=\'NaT\' or nonexistent=\'raise\' ""                ""instead."",                FutureWarning,            ', '""Passing timedelta64-dtype data is deprecated, will ""                      ""raise a TypeError in a future version"",                      FutureWarning, stacklevel=5', '            ""Passing timedelta64-dtype data is deprecated, will ""            ""raise a TypeError in a future version"",            FutureWarning,            stacklevel=5,        ', 'msg, FutureWarning, stacklevel=2', '                ""Non-vectorized DateOffset being applied to Series "" ""or DatetimeIndex"",                PerformanceWarning,            ', '                ""Converting to PeriodArray/Index representation ""                ""will drop timezone information."",                UserWarning,            ', '""Non-vectorized DateOffset being applied to Series ""                          ""or DatetimeIndex"", PerformanceWarning', '""The errors argument is deprecated and will be ""                          ""removed in a future release. Use ""                          ""nonexistent=\'NaT\' or nonexistent=\'raise\' ""                          ""instead."", FutureWarning', '_i8_message, FutureWarning, stacklevel=4'}",set()
pandas.tseries.plotting.tsplot,pandas.Series.plot,set(),set()
pandas.tseries.register,pandas.plotting.register_matplotlib_converters,"{'msg, FutureWarning, stacklevel=2'}",set()
pandas.DataFrame.from_csv,pandas.read_csv,"{'""from_csv is deprecated. Please use read_csv(...', '""fromcsv is deprecated. Use \'from_csv\' ""                      ""instead"", FutureWarning'}","{""'from_csv'""}"
pandas.Series.from_csv,pandas.read_csv,"{'""from_csv is deprecated. Please use read_csv(...', '""fromcsv is deprecated. Use \'from_csv\' ""                      ""instead"", FutureWarning'}","{""'from_csv'""}"
pandas.options.html.borde,pd.options.display.html.border,set(),set()
pandas.TimeGrouper,pandas.Grouper,"{'""pd.TimeGrouper is deprecated and will be removed; ""                      ""Please use pd.Grouper(freq=...'}",{'pd.grouper(freq=...'}
pandas.cdate_range,pandas.bdate_range,"{'""cdate_range is deprecated and will be removed in a future ""                  ""version, instead use pd.bdate_range(..., freq=\'{freq}\''}","{'pd.bdate_range(...,'}"
