DEPRECATED_API,KNOWN_REPLACEMENT,AVAILABLE_IN_REL_NOTES,REPLACEMENT_FOUND,CORRECT replacement ?,PROPOSED_REPLACEMENT,EXTRACT_FROM_DOCUMENTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.unique1d,numpy.unique,0,0,0,,dataRST/numpy/1.6.0-notes.rst The deprecated functions ``numpy.unique1d``,``numpy.setmember1d``,``numpy.intersect1d_nu`` and ``numpy.lib.ufunclike.log2`` were removed. ``numpy.ma`` ------------ Several deprecated items were removed from the ``numpy.ma`` module::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.intersect1d_nu,numpy.intersect1d,0,0,0,,"dataRST/numpy/1.6.0-notes.rst ``numpy.intersect1d_nu`` and ``numpy.lib.ufunclike.log2`` were removed. ``numpy.ma`` ------------ Several deprecated items were removed from the ``numpy.ma`` module:: * ``numpy.ma.MaskedArray`` ""raw_data"" method",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.setmember1d,numpy.in1d,0,0,0,,dataRST/numpy/1.6.0-notes.rst The deprecated functions ``numpy.unique1d``,``numpy.setmember1d``,``numpy.intersect1d_nu`` and ``numpy.lib.ufunclike.log2`` were removed. ``numpy.ma`` ------------ Several deprecated items were removed from the ``numpy.ma`` module::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.asscalar,numpy.ndarray.item,1,1,1,['numpy.ndarray.item'],dataRST/numpy/1.16.0-notes.rst * The `numpy.asscalar` function is deprecated. It is an alias to the more powerful `numpy.ndarray.item`,not tested,and fails for scalars. * The `numpy.set_array_ops` and `numpy.get_array_ops` functions are deprecated. As part of `NEP 15`,they have been deprecated along with the C-API functions :c:func:`PyArray_SetNumericOps` and :c:func:`PyArray_GetNumericOps`. Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.ma.Masked_Array.mini,np.ma.minimum.reduce,1,1,1,['np.ma.minimum.reduce'],dataRST/numpy/1.10.0-notes.rst *np.isclose* properly handles minimal values of integer dtypes -------------------------------------------------------------- In order to properly handle minimal values of integer types,*np.isclose* will now cast to the float dtype during comparisons. This aligns its behavior with what was provided by *np.allclose*. In order to properly handle minimal values of integer types,*np.isclose* will now cast to the float dtype during comparisons. This aligns its behavior with what was provided by *np.allclose*. *np.allclose* uses *np.isclose* internally. ------------------------------------------- dataRST/numpy/1.11.0-notes.rst and the failure of abs with signed integers of minimum value,e.g.,int8(-128). For consistency,floats are used even where an integer might work. Deprecations ============ Views of arrays in Fortran order dataRST/numpy/1.12.0-notes.rst using the minimal number of bits needed for the form in question. Such behavior is now considered unsafe from a user perspective and will raise an error in the future. Future Changes ============== computation is done in a minimum precision of float64. There was a long discussion on the numpy mailing list of how to treat integers to negative integer powers and a popular proposal was that the ``__pow__`` operator should always return results of at least float64 precision. The ``float_power`` function implements that option. Note that it does not support object arrays. dataRST/numpy/1.13.0-notes.rst * ``np.ma.argsort``,``np.ma.minimum.reduce``,and ``np.ma.maximum.reduce`` should be called with an explicit `axis` argument when applied to arrays with more than 2 dimensions,as the default value of this argument (``None``) is inconsistent with the rest of numpy (``-1``,``0``,and ``0``,respectively). * ``np.ma.MaskedArray.mini`` is deprecated,as it almost duplicates the * ``np.ma.MaskedArray.mini`` is deprecated,as it almost duplicates the functionality of ``np.MaskedArray.min``. Exactly equivalent behaviour can be obtained with ``np.ma.minimum.reduce``. * The single-argument form of ``np.ma.minimum`` and ``np.ma.maximum`` is deprecated. ``np.maximum``. ``np.ma.minimum(x)`` should now be spelt can be obtained with ``np.ma.minimum.reduce``. * The single-argument form of ``np.ma.minimum`` and ``np.ma.maximum`` is deprecated. ``np.maximum``. ``np.ma.minimum(x)`` should now be spelt ``np.ma.minimum.reduce(x)``,which is consistent with how this would be done with ``np.minimum``. * The single-argument form of ``np.ma.minimum`` and ``np.ma.maximum`` is deprecated. ``np.maximum``. ``np.ma.minimum(x)`` should now be spelt ``np.ma.minimum.reduce(x)``,which is consistent with how this would be done with ``np.minimum``. * Calling ``ndarray.conjugate`` on non-numeric dtypes is deprecated (it deprecated. ``np.maximum``. ``np.ma.minimum(x)`` should now be spelt ``np.ma.minimum.reduce(x)``,which is consistent with how this would be done with ``np.minimum``. * Calling ``ndarray.conjugate`` on non-numeric dtypes is deprecated (it should match the behavior of ``np.conjugate``,which throws an error). ``np.ma.minimum.reduce(x)``,which is consistent with how this would be done with ``np.minimum``. * Calling ``ndarray.conjugate`` on non-numeric dtypes is deprecated (it should match the behavior of ``np.conjugate``,which throws an error). * Calling ``expand_dims`` when the ``axis`` keyword does not satisfy with ``np.minimum``. * Calling ``ndarray.conjugate`` on non-numeric dtypes is deprecated (it should match the behavior of ``np.conjugate``,which throws an error). * Calling ``expand_dims`` when the ``axis`` keyword does not satisfy ``-a.ndim - 1 <= axis <= a.ndim``,where ``a`` is the array being reshaped,NumPy comes bundled with a minimal implementation of lapack for systems without a lapack library installed,under the name of ``lapack_lite``. This has been upgraded from LAPACK 3.0.0 (June 30,1999) to LAPACK 3.2.2 (June 30,2010). See the `LAPACK changelogs`_ for details on the all the changes this entails. While no new features are exposed through ``numpy``,this fixes some bugs dataRST/numpy/1.14.0-notes.rst ``np.ma.minimum_fill_value`` and ``np.ma.maximum_fill_value`` would return a tuple of the fields. Instead,all three methods return a structured ``np.void`` object,which is what you would already find in the ``.fill_value`` attribute. Additionally,the dtype guessing now matches that of ``np.array`` - so when passing a python scalar ``x``,``maximum_fill_value(x)`` is always the same as dataRST/numpy/1.15.1-notes.rst * `#11661 <https://github.com/numpy/numpy/pull/11661>`__: BUG: Warn on Nan in minimum,maximum for scalars * `#11665 <https://github.com/numpy/numpy/pull/11665>`__: BUG: cython sometimes emits invalid gcc attribute * `#11682 <https://github.com/numpy/numpy/pull/11682>`__: BUG: Fix regression in void_getitem * `#11698 <https://github.com/numpy/numpy/pull/11698>`__: BUG: Make matrix_power again work for object arrays. * `#11700 <https://github.com/numpy/numpy/pull/11700>`__: BUG: Add missing PyErr_NoMemory after failing malloc dataRST/numpy/1.16.0-notes.rst .. _ISE: https://en.wikipedia.org/wiki/Histogram#Minimizing_cross-validation_estimated_squared_error ``max_rows`` keyword added for ``np.loadtxt`` --------------------------------------------- New keyword ``max_rows`` in `numpy.loadtxt` sets the maximum rows of the content to be read after ``skiprows``,as in `numpy.genfromtxt`. ``maximum`` and ``minimum`` no longer emit warnings --------------------------------------------------- As part of code introduced in 1.10,``float32`` and ``float64`` set invalid float status when a Nan is encountered in `numpy.maximum` and `numpy.minimum`,when using SSE2 semantics. This caused a `RuntimeWarning` to sometimes be float status when a Nan is encountered in `numpy.maximum` and `numpy.minimum`,when using SSE2 semantics. This caused a `RuntimeWarning` to sometimes be emitted. In 1.15 we fixed the inconsistencies which caused the warnings to become more conspicuous. Now no warnings will be emitted. Umath and multiarray c-extension modules merged into a single module dataRST/numpy/1.18.0-notes.rst ``numpy.minimum`` respectively will require adjustment. This also affects ``numpy.nanmax`` and ``numpy.nanmin``. (`gh-14841 <https://github.com/numpy/numpy/pull/14841>`__) Moved modules in ``numpy.random`` --------------------------------- determining whether to use the 32-bit path or the full 64-bit path that incorrectly redirected random integer generation with a high - low range of ``2**32`` to the 64-bit generator. (`gh-14501 <https://github.com/numpy/numpy/pull/14501>`__) Add complex number support for ``numpy.fromfile`` dataRST/numpy/1.19.2-notes.rst * `#16998 <https://github.com/numpy/numpy/pull/16998>`__: MAINT: Configure hypothesis in ``np.test()`` for determinism,... * `#17000 <https://github.com/numpy/numpy/pull/17000>`__: BLD: pin setuptools < 49.2.0 * `#17015 <https://github.com/numpy/numpy/pull/17015>`__: ENH: Add NumPy declarations to be used by Cython 3.0+ * `#17125 <https://github.com/numpy/numpy/pull/17125>`__: BUG: Remove non-threadsafe sigint handling from fft calculation * `#17243 <https://github.com/numpy/numpy/pull/17243>`__: BUG: core: fix ilp64 blas dot/vdot/... for strides > int32 max dataRST/numpy/1.20.0-notes.rst `~numpy.distutils` allows negation of libraries when determining BLAS/LAPACK libraries. This may be used to remove an item from the library resolution phase,i.e. to disallow NetLIB libraries one could do: .. code:: bash - ``--cpu-baseline`` to specify the minimal set of required optimizations,default value is ``min`` which provides the minimum CPU features that can safely run on a wide range of users platforms. - ``--cpu-dispatch`` to specify the dispatched set of additional optimizations,default value is ``min`` which provides the minimum CPU features that can safely run on a wide range of users platforms. - ``--cpu-dispatch`` to specify the dispatched set of additional optimizations,default value is ``max -xop -fma4`` which enables - ``__cpu_baseline__`` a list contains the minimal set of required optimizations that supported by the compiler and platform according to the specified values to command argument '--cpu-baseline'. - ``__cpu_dispatch__`` a list contains the dispatched set of additional optimizations that supported by the compiler and platform according to the dataRST/numpy/1.22.0-notes.rst which is also minimal,meaning that only those functions and behaviors that are required by the standard are implemented (see the NEP for more info). Libraries wishing to make use of the array API standard are encouraged to use ``numpy.array_api`` to check that they are only using functionality that is guaranteed to be present in standard conforming implementations. dataRST/numpy/1.3.0-notes.rst The maximum/minimum ufuncs now reliably propagate nans. If one of the arguments is a nan,then nan is returned. This affects np.min/np.max,amin/amax and the array methods max/min. New ufuncs fmax and fmin have been added to deal with non-propagating nans. Nan handling in sign #. fmin - same as minimum for integer types and non-nan floats. Returns the non-nan argument if one argument is nan and returns nan if both arguments are nan. #. deg2rad - converts degrees to radians,same as the radians ufunc. #. rad2deg - converts radians to degrees,same as the degrees ufunc. dataRST/numpy/1.7.0-notes.rst ``mean``,``median``,``minimum``,``reflect``,``symmetric``,``wrap``,and ``<function>``. New argument to searchsorted ---------------------------- The function searchsorted now accepts a 'sorter' argument that is a dataRST/numpy/1.8.0-notes.rst * `minimum/maximum` * `absolute` * Bool: * `logical_or` * `logical_and`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.loads,pickle.loads,1,1,1,['pickle.loads'],dataRST/numpy/1.15.0-notes.rst * `numpy.loads` * `numpy.core.numeric.load` * `numpy.core.numeric.loads` * `numpy.ma.loads`,`numpy.ma.dumps` * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on dataRST/numpy/1.22.0-notes.rst ``numpy.loads`` was deprecated in v1.15,with the recommendation that users use ``pickle.loads`` instead. ``ndfromtxt`` and ``mafromtxt`` were both deprecated in v1.17 - users should use ``numpy.genfromtxt`` instead with the appropriate value for the ``usemask`` parameter. (`gh-19615 <https://github.com/numpy/numpy/pull/19615>`__),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.core.numeric.load,pickle.load,1,0,0,,dataRST/numpy/1.15.0-notes.rst * `numpy.core.numeric.load` * `numpy.core.numeric.loads` * `numpy.ma.loads`,`numpy.ma.dumps` * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * `numpy.core.numeric.loads` * `numpy.ma.loads`,`numpy.ma.dumps` * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * Multidimensional indexing with anything but a tuple is deprecated. This means,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.core.numeric.loads,pickle.loads,1,0,0,,dataRST/numpy/1.15.0-notes.rst * `numpy.core.numeric.loads` * `numpy.ma.loads`,`numpy.ma.dumps` * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * Multidimensional indexing with anything but a tuple is deprecated. This means,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.ma.loads,pickle.loads,1,0,0,,dataRST/numpy/1.15.0-notes.rst * `numpy.ma.loads`,`numpy.ma.dumps` * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * Multidimensional indexing with anything but a tuple is deprecated. This means that the index list in ``ind = [slice(None),0]; arr[ind]`` should be changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.ma.dumps,pickle.dumps,1,0,0,,dataRST/numpy/1.15.0-notes.rst * `numpy.ma.loads`,`numpy.ma.dumps` * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * Multidimensional indexing with anything but a tuple is deprecated. This means that the index list in ``ind = [slice(None),0]; arr[ind]`` should be changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.ma.load,pickle.load,1,0,0,,dataRST/numpy/1.15.0-notes.rst * `numpy.ma.loads`,`numpy.ma.dumps` * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * Multidimensional indexing with anything but a tuple is deprecated. This means that the index list in ``ind = [slice(None),0]; arr[ind]`` should be changed * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * Multidimensional indexing with anything but a tuple is deprecated. This means that the index list in ``ind = [slice(None),0]; arr[ind]`` should be changed to a tuple,e.g.,``ind = [slice(None),0]; arr[tuple(ind)]`` or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.ma.dump,pickle.dump,1,0,0,,dataRST/numpy/1.15.0-notes.rst * `numpy.ma.loads`,`numpy.ma.dumps` * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * Multidimensional indexing with anything but a tuple is deprecated. This means that the index list in ``ind = [slice(None),0]; arr[ind]`` should be changed * `numpy.ma.load`,`numpy.ma.dump` - these functions already failed on python 3 when called with a string. * Multidimensional indexing with anything but a tuple is deprecated. This means that the index list in ``ind = [slice(None),0]; arr[ind]`` should be changed to a tuple,e.g.,``ind = [slice(None),0]; arr[tuple(ind)]`` or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.ma.array.mini,np.ma.minimum.reduce,1,1,1,['np.ma.minimum.reduce'],dataRST/numpy/1.13.0-notes.rst * ``np.ma.MaskedArray.mini`` is deprecated,as it almost duplicates the functionality of ``np.MaskedArray.min``. Exactly equivalent behaviour can be obtained with ``np.ma.minimum.reduce``. * The single-argument form of ``np.ma.minimum`` and ``np.ma.maximum`` is deprecated. ``np.maximum``. ``np.ma.minimum(x)`` should now be spelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.distutils.temp_file_name,tempfile.mkstemp,1,1,1,['tempfile.mkstemp'],dataRST/numpy/1.17.0-notes.rst Deprecate `numpy.distutils.exec_command` and ``temp_file_name`` --------------------------------------------------------------- The internal use of these functions has been refactored and there are better alternatives. Replace ``exec_command`` with `subprocess.Popen` and `temp_file_name <numpy.distutils.exec_command>` with `tempfile.mkstemp`. `temp_file_name <numpy.distutils.exec_command>` with `tempfile.mkstemp`. Writeable flag of C-API wrapped arrays -------------------------------------- When an array is created from the C-API to wrap a pointer to data,the only indication we have of the read-write nature of the data is the ``writeable``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.lib.npyio.NpzFile.iteritem,numpy.lib.npyio.NpzFile.item,0,0,0,,dataRST/numpy/1.15.0-notes.rst For python 3,this means that ``.iteritems()``,``.iterkeys()`` have been deprecated,and ``.keys()`` and ``.items()`` now return views and not lists. This is consistent with how the builtin ``dict`` type changed between python 2 and python 3. Under certain conditions,``nditer`` must be used in a context manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numpy.lib.npyio.NpzFile.iterkeys,numpy.lib.npyio.NpzFile.iterkeys,0,0,0,,dataRST/numpy/1.15.0-notes.rst For python 3,this means that ``.iteritems()``,``.iterkeys()`` have been deprecated,and ``.keys()`` and ``.items()`` now return views and not lists. This is consistent with how the builtin ``dict`` type changed between python 2 and python 3. Under certain conditions,``nditer`` must be used in a context manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
